CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
12040,AMEX:BDL,0
12208,NYSE:BIO,475.09
12239,Nasdaq:DOMH,5.57
12400,NYSE:BKH,67.77
12603,NASDAQ:PY,38.81
12659,NYSE:HRB,33.77
12927,NYSE:BA,136.75
12978,NYSE:OMX,0
13573,,0
14177,Nasdaq:BRID,13.17
14195,NYSE:BGG,0
14272,NYSE:BMY,76.47
14280,NASDAQ:MSGI,0
14693,NYSE:BF.A,65.64
14707,NYSE:CAL,28.13
14846,NYSE:BRT,22.13
15615,NYSE:MTZ,73.64
16040,NYSE:CBT,62.8
16058,NYSE:CACI,263.5
16099,NYSE:LUB,0
16160,Nasdaq:CALM,47.91
16732,NYSE:CPB,47
16859,NYSE:SRL,8.19
16868,NYSE:CNI,109.25
16875,NYSE:CP,69.48
16918,NYSE:STZ,234.94
17313,Nasdaq:CSWC,18.64
17485,NYSE:LBMH,0
17843,NYSE:CRS,30.3
18061,NASDAQ:CASC,0
18169,NYSE:DOLE,8.85
18172,NYSE:CAS,0
18230,NYSE:CAT,196.37
18255,NYSE:CATO,11.49
18349,NYSE:SNV,35.72
18396,NYSE:CDI,0
18498,NYSE:GCO,55.2
18748,AMEX:CET,0
18926,NYSE:LUMN,10.79
19399,NASDAQ:CHFN,0
19411,NASDAQ:MGLN,0
19446,NYSE:CMD,0
19520,NASDAQ:CHTT,0
19584,NYSE:CHE,450.66
19612,NASDAQ:TCFCP,0
19617,NYSE:JPM,115.83
19745,NYSE:CPK,120.96
19871,AMEX:CVR,0
20212,Nasdaq:CHDN,89.17
20232,NASDAQ:CHYR,0
20286,Nasdaq:CINF,115.55
20388,NYSE:CIT,0
20430,,0
20520,Nasdaq:FYBR,23.7
20629,NYSE:CSS,0
20740,NYSE:CLC,0
21076,NYSE:CLX,125.62
21175,NYSE:CNA,43.33
21344,NYSE:KO,60.7
21510,NASDAQ:COHR,0
21535,Nasdaq:COHU,26.95
21665,NYSE:CL,76.46
22105,,0
22252,NASDAQ:CMRO,0
22301,NYSE:CCZ,60.29
22356,Nasdaq:CBSH,58.72
22444,NYSE:CMC,36.58
22551,,0
22701,Nasdaq:PEGY,33.75
22912,,0
23082,NYSE:CSC,0
23111,Nasdaq:CTG,0
23194,NYSE:CRK,14.97
23197,Nasdaq:CMTL,9.44
23217,NYSE:CAG,32.34
23666,NYSE:HSH,0
23675,NYSE:CNW,0
23795,NYSE:CTO,19.92
24090,NYSE:CIA,3.79
24104,NYSE:CUO,0
24545,NYSE:TAP,52.21
24741,NYSE:GLW,32.12
25212,NASDAQ:CRRC,0
25232,NYSE:CUZ,29.24
25445,NYSE:CR,29.44
25475,,0
25743,Nasdaq:TXMD,9.89
25793,NASDAQ:ATX,0
25895,Nasdaq:CRWS,6.12
26058,NYSE:CTS,33.89
26076,NYSE:CUB,0
26172,NYSE:CMI,196.19
26324,NYSE:CW,131.47
26537,NYSE:STST,0
26780,NYSE:DAN,14.21
27048,NYSE:DST,0
27093,Nasdaq:USAU,4.4
27367,Nasdaq:DXR,12.56
27419,NYSE:TGT,144.7
27904,NYSE:DAL,30.05
27960,,0
27996,NYSE:DLX,21.63
28412,NYSE:CMA,75.93
28630,NYSE:DRS,0
28917,NYSE:DDS,276.35
29002,Nasdaq:DIOD,66.49
29332,Nasdaq:DXYN,1.49
29534,NYSE:DG,238.97
29644,NYSE:DCI,47.01
29669,NASDAQ:RRD,0
29806,,0
29834,NASDAQ:ESCRP,0
29905,NYSE:DOV,119.22
29989,NYSE:OMC,63.52
30125,NYSE:INSI,15.88
30167,,0
30305,NYSE:DCO,43.18
30371,NYSE:DUKH,0
30554,,0
30625,NYSE:FLS,28.43
30697,Nasdaq:WEN,17.94
30828,NASDAQ:COBR,0
30831,,0
31107,Nasdaq:EML,19.72
31235,NYSE:KODK,5.67
31347,NASDAQ:ELON,0
31462,NYSE:ECL,148.59
31667,Nasdaq:EDUC,4.36
31791,NYSE:PKI,135.64
31978,NYSE:EE,24.64
32020,,0
32166,NASDAQ:ELRC,0
32604,NYSE:EMR,80.22
32621,AMEX:MSN,0
32689,NYSE:EDE,0
32878,NASDAQ:ENERQ,0
33002,NYSE:EBF,18.55
33185,NYSE:EFX,175.32
33213,NYSE:EQT,36.8
33488,Nasdaq:ESCA,12.23
33523,,0
33533,AMEX:ESP,0
33619,NYSE:ESL,0
33769,NASDAQ:BOBE,0
33934,AMEX:CRF,0
33992,Nasdaq:KINS,4.08
34067,Nasdaq:BOOM,19.81
34088,NYSE:XOM,91.48
34151,NYSE:JAS,0
34349,,0
34408,NYSE:FDO,0
34489,,0
34563,Nasdaq:FARM,4.53
34782,Nasdaq:SRCE,45.55
34903,NYSE:FRT,94.76
34956,Nasdaq:TENX,962.72
35214,NYSE:FOE,0
35527,Nasdaq:FITB,34.37
36029,Nasdaq:FFIN,38.62
36032,NYSE:RF,19.09
36047,NYSE:CLGX,0
36104,Nasdaq:FRBA,46.33
36146,Nasdaq:TRMK,29.29
36270,NYSE:MTB,165.26
36377,NASDAQ:FHB,22.15
36966,NYSE:FHN,21.5
37008,NYSE:FUR,0
37039,,0
37049,NYSE:FWV,0
37472,Nasdaq:FLXS,18.49
37643,NASDAQ:FPU,0
37748,NYSE:FLR,24.83
37785,NYSE:FMC,108.83
37808,NYSE:FNB,10.91
37996,NYSE:F,11.46
38067,,0
38074,NYSE:FRX,0
38079,NYSE:SOGCQ,0
38188,NYSE:FDI,0
38264,Nasdaq:FORD,1.49
38725,Nasdaq:FELE,70.34
38777,NYSE:BEN,24.18
38984,NASDAQ:RELY,8.49
39020,Nasdaq:FEIM,7.33
39092,AMEX:FRD,0
39263,NYSE:CFR,118.23
39273,NASDAQ:FFEX,0
39311,Nasdaq:IBCP,18.79
39368,NYSE:FUL,61.13
39648,NASDAQ:GK,0
39677,NASDAQ:AVHI,0
39899,NYSE:GCI,20.96
39911,NYSE:GPS,8.82
40211,NYSE:GATX,94.16
40417,NYSE:GAM,34.96
40533,NYSE:GD,216.55
40545,NYSE:GE,41
40554,NYSE:GEK,0
40570,AMEX:JOB,0
40704,NYSE:GIS,67.85
40729,NYSE:ALLY,33.2
40888,NYSE:AJRD,0
40987,NYSE:GPC,130.81
41091,NYSE:GPJA,0
41133,NYSE:GRB,0
41719,NYSE:GLT,7.13
42582,Nasdaq:GT,11.28
42682,NYSE:GRC,28.12
42872,,0
42888,NYSE:GGG,58
43196,NYSE:GTN,17.43
43350,NYSE:EGAS,0
43410,NYSE:GNI,0
43920,NYSE:GEF,59.66
44545,,0
45012,NYSE:HAL,33.55
45876,NYSE:NVRI,7.21
45919,Nasdaq:HHS,10.21
46012,,0
46043,,0
46080,Nasdaq:HAS,82.46
46129,Nasdaq:ALNT,23.11
46195,NYSE:BOH,74.06
46250,Nasdaq:HWKN,35.62
46619,NYSE:HEI,131.38
46738,,0
46765,NYSE:HP,40.87
46989,NYSE:HPC,0
47111,NYSE:HSY,215.07
47217,NYSE:HPQ,34.29
47518,NYSE:HRC,0
48287,NYSE:HNI,34.04
48465,NYSE:HRL,45.31
48898,NYSE:HUBB,174.12
49071,NYSE:HUM,448.98
49196,Nasdaq:HBAN,23.59
49534,NASDAQ:LPHIQ,0
49600,NYSE:EGP,151.38
49728,NYSE MKT:IEC,0
49754,NYSE:DIN,63.29
49826,NYSE:ITW,181.28
49930,NASDAQ:IPII,0
49938,AMEX:IMO,0
50104,NYSE:ANDV,0
50493,Nasdaq:IMKTA,89
50710,,0
50725,NYSE:GFF,26.49
50863,Nasdaq:INTC,37.73
50934,NYSE:IDC,0
50957,NASDAQ:FBN,0
51143,NYSE:IBM,137.85
51253,NYSE:IFF,112.95
51434,NYSE:IP,41.88
51548,NASDAQ:ISCA,0
51644,NYSE:IPG,27.21
51939,NASDAQ:CORSQ,0
52485,NASDAQ:IPLDP,0
52708,NASDAQ:IOMT,0
52795,NYSE:AXE,0
52827,NYSE:RYN,36.9
52969,NYSE:JCLY,0
52988,NYSE:J,121.88
54003,NYSE:JOR,0
54056,NYSE:JRN,0
54187,Nasdaq:MAYS,0
54381,NYSE:KAMN,0
54441,NYSE:FRM,0
54480,NYSE:KSU,0
54502,,0
54507,NYSE:WR,0
54991,NYSE:KEI,0
55067,NYSE:K,64.61
55135,Nasdaq:KELYA,18.45
55195,,0
55242,NYSE:KMT,23.5
55362,,0
55529,Nasdaq:KEQU,0
55772,Nasdaq:KBAL,0
55785,NYSE:KMB,125.08
56047,NYSE:KEX,59.55
56679,NYSE:KFY,53.84
56701,Nasdaq:KOSS,7.09
56806,NASDAQ:KRSL,0
56868,Nasdaq:PNRG,80.89
56873,NYSE:KR,48.4
56978,Nasdaq:KLIC,44.73
57083,NYSE:KYO,0
57131,NYSE:LZB,22.73
57201,,0
57515,Nasdaq:LANC,125.22
57528,NASDAQ:LNCE,0
57725,NYSE:LCI,0
58361,Nasdaq:LEE,18.6
58492,NYSE:LEG,34.65
59255,NYSE:VHI,44.02
59440,NYSE:VGR,10.74
59478,NYSE:LLY,297.34
59527,Nasdaq:LECO,123.95
59558,NYSE:LNC,48.82
60086,NYSE:L,58.49
60519,NYSE:LPX,54.67
60527,NYSE:ELC,0
60667,NYSE:LOW,172.38
60714,NYSE:LXU,15.54
60751,NYSE:LZ,0
60977,NYSE:LDL,0
61004,AMEX:LGL,0
61397,BATS:FMAG,18.34
61398,AMEX:TELL,0
61442,,0
61478,NYSE:ADCT,6.78
61986,NYSE:MTW,10.5
62234,NYSE:MCS,14.46
62362,Nasdaq:MARPS,0
62709,NYSE:MMC,148.9
62996,NYSE:MAS,47.26
63276,Nasdaq:MAT,22.76
63296,Nasdaq:MATW,28.2
63330,NYSE:MLP,9.98
63754,NYSE:MKC,83.57
63908,NYSE:MCD,239.59
64040,NYSE:SPGI,320.02
64463,Nasdaq:SLNH,133
64472,AMEX:GENC,0
64803,NYSE:CVS,91.08
64996,NYSE:MCY,44.24
65100,NYSE:MER,0
65172,NYSE:MSB,25
65201,NYSE:MPR,0
65270,NYSE:MEI,38.25
65312,AMEX:EVI,0
65358,NASDAQ:UCAP,0
65433,NYSE:MXF,14.4
65596,Nasdaq:SIEB,1.56
65770,Nasdaq:MVIS,3.92
65984,NYSE:ETR,104.7
66004,Nasdaq:MSEX,80.97
66032,,0
66382,Nasdaq:MLKN,26.78
66418,AMEX:MXC,0
66570,NYSE:MSA,116.1
66649,NYSE:MGN,0
66740,NYSE:MMM,108.7
66756,NYSE:ALE,57.16
66901,NYSE:EMP,0
66904,,0
67088,NYSE:MUFG,5.58
67215,NYSE:DY,88.88
67279,NASDAQ:MOCO,0
67347,NYSE:MOD,10.83
67625,NYSE:MNR,0
67686,NYSE:MON,0
67716,NYSE:MDU,18.08
67813,NYSE:MTS,0
67887,NYSE:MOGA,0
68270,NYSE:RT,0
68505,NYSE:MSI,205.18
68622,NYSE:CTBB,23.97
68709,NASDAQ:MTSC,0
69422,Nasdaq:INTG,0
69488,NYSE:MYE,22.1
69633,Nasdaq:NSSC,19.71
69733,Nasdaq:NATH,51.6
69891,Nasdaq:FIZZ,45.44
70145,NYSE:NFG,67.13
70318,NYSE:THC,52.15
70415,NYSE:GPX,0
70487,Nasdaq:NRC,36.86
70502,NYSE:NRUC,23.59
70793,NYSE:NTY,0
70858,NYSE:BAC,32.85
70866,NYSE:VYX,18.84
71508,NYSE:ENJ,0
71691,NYSE:NYT,29.09
71829,NYSE:NR,3.65
71932,NYSE:NMKBP,0
72162,NYSE:NL,9.18
72207,NYSE:NBL,0
72331,Nasdaq:NDSN,197.99
72333,NYSE:JWN,24.03
72423,NASDAQ:NTK,0
72444,Nasdaq:VXRT,3.33
72573,NYSE:MOV,33
72633,NYSE:NRT,14.61
72741,NYSE:ES,79.56
72903,Nasdaq:XEL,64.76
72911,NYSE:NRTLQ,0
72971,NYSE:WFC,38.99
73124,Nasdaq:NTRS,93.93
73290,Nasdaq:BMRA,3.11
73309,NYSE:NUE,112.26
73756,NYSE:OII,10.19
73887,NYSE:VTOL,23.04
74046,NYSE:ODC,27.25
74208,NYSE:UDR,44.1
74260,NYSE:ORI,21.43
74303,NYSE:OLN,48.58
75208,NYSE:OSG,2.13
75252,NYSE:OMI,30.55
75288,NYSE:OXM,90.86
75340,Nasdaq:PFIN,0
75362,Nasdaq:PCAR,56.34
75398,NYSE:PAI,11.68
75488,NYSE:PCG,10
75677,NYSE:PKG,139.51
76174,,0
76267,NYSE:PKE,12.69
76282,Nasdaq:PKOH,15.58
76334,NYSE:PH,241.9
76605,Nasdaq:PATK,50.44
77159,Nasdaq:ROCC,0
77281,OTC:PRET,0
77360,NYSE:PNR,44.3
77449,NYSE:PBY,0
77476,Nasdaq:PEP,160.71
77543,NYSE:TPC,8.91
77597,NYSE:SEH,0
77776,NYSE:PHH,0
77877,Nasdaq:PDCE,0
78003,NYSE:PFE,48.11
78066,NYSE:PD,24.45
78128,NYSE:WTRG,42.06
78150,NYSE:PHI,33.17
78239,NYSE:PVH,60.53
78460,NYSE:PNY,0
78536,NASDAQ:DINE,0
78749,Nasdaq:AGYS,39.91
78778,NYSE:PJC,0
78814,NYSE:PBI,3.65
78890,NYSE:BCO,57.19
79035,NYSE:POLY,0
79282,NYSE:BRO,54.87
79879,NYSE:PPG,110.6
79958,NYSE:PCP,0
80035,Nasdaq:PLPC,62.22
80124,NASDAQ:PLFE,0
80172,NYSE:NPK,63.8
80257,,0
80420,Nasdaq:POWL,23.22
80424,NYSE:PG,136.37
80661,NYSE:PGR,112.18
81318,NYSE:YUMA,0
81362,NYSE:KWR,134.43
81955,Nasdaq:RAND,14.5
82020,Nasdaq:USLM,109.7
82166,NASDAQ:RAVN,0
82267,NYSE:RTN,0
82473,AMEX:IHT,0
82811,NYSE:RRX,110.73
83402,NASDAQ:REXI,0
84246,NYSE:RLI,108.98
84748,NYSE:ROG,259.17
84792,NYSE:ROH,0
84839,NYSE:ROL,32.45
85408,NYSE:RDC,0
85535,Nasdaq:RGLD,109.69
85961,NYSE:R,71.86
85974,NYSE:RYL,0
86144,NYSE:SWY,0
86312,NYSE:TRV,162.63
87050,Nasdaq:NEON,5.59
87347,NYSE:SLB,38.82
87565,NASDAQ:SHLM,0
88132,NYSE MKT:SEB,0
88205,NYSE:SPXC,52.53
88941,Nasdaq:SMTC,55.97
88948,Nasdaq:SENEA,54.6
89089,NYSE:SCI,65.26
89140,AMEX:SVT,0
89270,NYSE:SLI,0
89439,NYSE:MLI,25.97
89800,NYSE:SHW,220.15
90168,AMEX:SIF,0
90185,NASDAQ:SIAL,0
90498,Nasdaq:SFNC,21.65
90896,NYSE:SKY,44.91
91142,NYSE:AOS,52.89
91419,NYSE:SJM,124.39
91440,NYSE:SNA,197.54
91576,NYSE:KEY,17.52
91767,NYSE:SON,52.17
91847,NYSE:SOR,36.6
91928,NYSE:SJIJ,0
92103,,0
92122,NYSE:SO,67.15
92230,NYSE:TFC,47.05
92380,NYSE:LUV,35.32
92472,NASDAQ:SWWC,0
92679,NYSE:SPA,0
93284,NYSE:ICB,0
93314,AMEX:VNRX,0
93389,NYSE:SMP,42.77
93410,NYSE:CVX,154.59
93451,NYSE:STL,0
93556,NYSE:SWK,102.65
93676,NYSE:SCX,0
93751,NYSE:STT,63.8
93859,NYSE:BH,120.93
94049,NYSE:SCL,96.87
94344,NYSE:STC,46.81
94845,NYSE:LEVI,16.82
95029,NYSE:RGR,62.37
95047,,0
95052,NASDAQ:RDEN,0
95521,NYSE:SVU,0
95552,NYSE:SUP,4.34
95574,Nasdaq:SGC,17.46
95585,,0
95953,Nasdaq:ACNT,15
96021,NYSE:SYY,80.07
96223,NYSE:JEF,25.84
96289,NYSE:RSH,0
96536,Nasdaq:TAYD,9.1
96638,NASDAQ:ADVNQ,0
96763,NYSE:PULS,0
96793,AMEX:SSY,0
96831,NASDAQ:TECUA,0
96869,NYSE:TRC,15.17
96885,OTC:TIKK,0
96943,NYSE:TFX,249.11
96966,NYSE:TDJ,0
97134,NYSE:TNC,57.55
97196,NASDAQ:AMIC,0
97210,Nasdaq:TER,91.38
97216,NYSE:TEX,28.45
97472,NYSE:TXI,0
97476,Nasdaq:TXN,153.46
97745,NYSE:TMO,513.54
98222,NYSE:TDW,22.34
98246,NYSE:TIF,0
98338,Nasdaq:TSRI,7.35
98362,NYSE:TKR,53.79
98677,NYSE:TR,30.98
99197,NYSE:TAI,0
99302,Nasdaq:TRNS,59.42
99359,NYSE:BZC,0
99614,NYSE:TY,25.9
99780,NYSE:TRN,23.92
100378,Nasdaq:TWIN,8.67
100493,NYSE:TSN,84.01
100517,Nasdaq:UAL,36.5
100591,NYSE:AGX,37.87
100726,NYSE:UFI,13.73
100885,NYSE:UNP,209.47
100979,,0
101063,NYSE:CQB,0
101199,Nasdaq:UFCS,34.33
101295,Nasdaq:UG,15.34
101382,Nasdaq:UMBF,85.53
101538,AMEX:UAMY,0
101542,,0
101594,Nasdaq:USEG,3.79
101778,NYSE:MRO,24.9
101829,NYSE:RTX,92.92
101830,NYSE:S,23.66
101984,Nasdaq:UEIC,25.9
102037,NYSE:UVV,58.4
102109,AMEX:UUU,0
102212,Nasdaq:UVSP,25.71
102426,NYSE:STEW,11.64
102499,NASDAQ:GEOW,0
102729,NYSE:VMI,223.19
102752,Nasdaq:VSEC,34.91
103145,Nasdaq:VECO,19.62
103379,NYSE:VFC,46.38
103595,Nasdaq:VLGEA,22.75
103730,NYSE:VSH,18
103872,NYSE MKT:VOLT,0
104169,NYSE:WMT,40.72
104207,NYSE:WAG,0
104375,,0
104777,NYSE:ALTV,0
104889,NYSE:GHC,544.11
104894,NYSE:ELME,21.43
104897,NASDAQ:WSCI,0
104918,NYSE:AVA,39.58
105016,NYSE:WSO,230.6
105132,Nasdaq:WDFC,182.98
105319,Nasdaq:WW,6.75
105418,NYSE:WMK,75.14
105634,NYSE:EME,99.49
105744,AMEX:GBR,0
105770,NYSE:WST,288.53
106040,Nasdaq:WDC,46.5
106374,,0
106455,NASDAQ:WLBA,0
106532,Nasdaq:WEYS,30.26
106535,NYSE:WY,33.44
106640,NYSE:WHR,153.02
107140,NYSE:WLY,46.26
107263,NYSE:WMB,30.93
107559,,0
107687,NYSE:WGO,45.76
108312,Nasdaq:WWD,91.16
108385,Nasdaq:WRLD,116.5
108516,NYSE:WOR,25.25
108985,Nasdaq:YORW,38.51
109156,NYSE:ZLC,0
109177,NYSE:SPB,79.44
109198,NYSE:TJX,57.49
109380,Nasdaq:ZION,53.02
109563,NYSE:AIT,91.73
109657,Nasdaq:GTBP,87.6
109747,,0
110390,NYSE:UN,0
110430,NYSE:FTO,0
110471,NYSE:WWW,19.53
110621,NYSE:RPM,75.39
200245,,0
200406,NYSE:JNJ,173.01
201283,NYSE:TLM,0
201461,NYSE:CYN,0
201533,,0
202058,NYSE:LHX,229.6
202467,,0
202890,NASDAQ:ARS,0
203077,NYSE:STJ,0
203248,NYSE:SUG,0
203527,NYSE:VAR,0
203596,Nasdaq:WSBC,32.26
215419,NYSE:CKP,0
215466,NYSE:CDE,3.54
215829,,0
215994,,0
216039,NYSE:GRBEQ,0
216085,NYSE:HVT,23.8
216108,NYSE:NFS,0
216228,NYSE:ITT,66.45
216539,NYSE:MEG,31.49
216851,NYSE:PEO,20.26
216934,,0
217346,NYSE:TXT,59.66
217410,NYSE:UL,44.37
225208,,0
225263,NYSE MKT:NEWP,0
225635,NYSE:BIE,0
225648,NYSE:CVA,0
230119,NASDAQ:CRBC,0
230498,NYSE:RKT,6.78
230557,Nasdaq:SIGI,78.58
275053,Nasdaq:NATR,11.35
275119,NASDAQ:BYLK,0
275694,NYSE:MCI,13.35
275880,NYSE:PSN,37.95
276209,NASDAQ:CTWS,0
276463,NYSE:XOVR,0
276720,Nasdaq:PCYO,10.11
277058,NYSE:UWN,0
277135,NYSE:GWW,449.84
277375,NASDAQ:DGAS,0
277509,NYSE:FSS,34.9
277595,NYSE:EGN,0
277807,,0
277948,Nasdaq:CSX,28.99
278041,NYSE:ISH,0
278130,NYSE:PIR,0
278165,Nasdaq:OMQS,0
278166,Nasdaq:CVCO,187.84
310056,NYSE:VII,0
310142,NYSE:SXT,74.15
310158,NYSE:MRK,88.03
310354,NYSE:SXI,85.11
310568,NASDAQ:MSCC,0
310764,NYSE:SYK,195.7
311046,,0
311094,Nasdaq:WABC,57.81
311337,NYSE:SU,37.25
311471,NASDAQ:APAGF,0
311817,NYSE MKT:HMG,0
312069,NYSE:BCS,7.98
312070,CBOE:ATMP,0
313041,,0
313143,NYSE:HAE,60.95
313216,NYSE:PHG,19.35
313364,NYSE:MTR,15.72
313395,NASDAQ:TXCOQ,0
313616,NYSE:DHR,216.19
313716,NASDAQ:HDNG,0
313807,NYSE:BP,29.12
313838,NYSE:SONY,84.85
313927,NYSE:CHD,85.91
314203,NYSE:MUX,5
314227,Nasdaq:TOMZ,0.69
314423,NYSE:RNDY,0
314489,Nasdaq:BUSE,22.89
314590,NYSE:SSL,24.71
314606,NYSE:GEOKQ,0
314712,,0
314808,NYSE:VAL,50.52
315131,NYSE:PHX,3.69
315189,NYSE:DE,329.27
315213,NYSE:RHI,79.28
315293,NYSE:AON,254.76
315374,Nasdaq:HURC,25.12
315449,NYSE:UQM,0
315545,OTC:PVCT,0
315709,Nasdaq:IBOC,40.43
315849,NYSE:SGB,0
315852,NYSE:RRC,26.92
315858,NYSE:BVH,0
316206,NYSE:HOT,0
316253,NYSE:ENZ,2.24
316300,NYSE:XCO,0
316709,NYSE:SCHW,62.38
316736,NYSE:FPP,0
316793,NYSE:IRF,0
316888,AMEX:ASM,0
317540,Nasdaq:COKE,516.3
317788,Nasdaq:APPS,15.41
317891,,0
318154,Nasdaq:AMGN,238.41
318306,Nasdaq:ABEO,4.19
318673,Nasdaq:SNFCA,7.66
318771,NYSE:DNA,2.44
318833,NYSE:TISI,8.6
318996,NYSE:KEGX,0
319156,NYSE:CBNR,0
319201,Nasdaq:KLAC,327.22
319240,NASDAQ:IRIS,0
319458,AMEX:ENSV,0
319654,NYSE:PBT,19.19
319655,NYSE:SJT,9.97
319815,NASDAQ:MXWL,0
320017,Nasdaq:LSTA,7.82
320121,Nasdaq:TLS,8.27
320187,NYSE:NKE,108.68
320193,Nasdaq:AAPL,135.87
320335,NYSE:GL,94.76
320340,NYSE:CCRD,21.33
320345,NASDAQ:MCRS,0
320387,NASDAQ:FMFC,0
350698,NYSE:AN,111.49
350737,NASDAQ:OBCI,0
350797,NYSE:EV,0
350846,NYSE:STS,0
350852,Nasdaq:CTBI,40.6
350868,Nasdaq:ITI,2.84
350894,Nasdaq:SEIC,52.8
350907,NASDAQ:THOR,0
351483,NASDAQ:ASMI,0
351569,Nasdaq:ABCB,41.4
351789,Nasdaq:ELSE,5.82
351817,NYSE:SBOW,35.25
351834,Nasdaq:STKL,7.33
351903,NASDAQ:EPHC,0
351998,Nasdaq:DAIO,3.14
352363,NYSE:KATE,0
352541,NASDAQ:LNT,55.22
352613,NASDAQ:TALL,0
352747,NASDAQ:UGNEQ,0
352825,Nasdaq:FSTR,13.08
352915,NYSE:UHS,102.96
352955,AMEX:CKX,0
352988,,0
353020,NASDAQ:AEGN,0
353024,BATS:PXUS,0
353184,Nasdaq:AIRT,20.74
353230,NYSE:OCR,0
353278,NYSE:NVO,53.95
353646,,0
354190,NYSE:AJG,155.21
354647,Nasdaq:CVBF,24.8
354655,NASDAQ:BOLT,1.9
354707,NYSE:HE,38.54
354869,NASDAQ:FMER,0
354908,NASDAQ:FLIR,0
354950,NYSE:HD,269.2
354963,Nasdaq:SHEN,24.35
355019,Nasdaq:FONR,15.49
355379,Nasdaq:MDWT,0
355429,NYSE:PL,4.98
355766,NYSE:HWG,0
355777,NASDAQ:LOJN,0
355811,Nasdaq:GNTX,28.12
355948,Nasdaq:RELL,14.91
355999,NASDAQ:USTR,0
356028,NASDAQ:CA,0
356037,Nasdaq:CSPI,4.61
356080,NYSE:BLC,0
356130,NASDAQ:EMCI,0
356171,Nasdaq:TCBK,45.91
356213,NASDAQ:PNK,0
356309,NYSE:NJR,42.21
356708,NASDAQ:FRGBQ,0
356858,NASDAQ:FBCI,0
357020,NASDAQ:XCRA,0
357097,NASDAQ:FCSC,0
357173,Nasdaq:OSBC,14.09
357294,NYSE:HOV,40.54
357301,Nasdaq:TRST,30.46
700564,Nasdaq:FULT,20.66
700565,Nasdaq:FMBH,37.09
700733,NASDAQ:NPBC,0
700841,Nasdaq:RCMT,22.41
700863,NASDAQ:SUSQ,0
700923,Nasdaq:MYRG,85.19
701288,Nasdaq:ATRI,623.2
701345,NYSE:LCC,0
701347,NYSE:CPF,21.88
701374,NYSE:SIX,21.1
701719,AMEX:ELA,0
701811,NASDAQ:MENT,0
701818,NYSE:KGC,4.2
701869,NYSE:IHC,0
701985,NYSE:BBWI,30.36
702325,NASDAQ:FMBI,0
702513,NASDAQ:BOCH,0
702902,NASDAQ:HNBC,0
703109,,0
703351,NYSE:EAT,23.21
703361,NASDAQ:IDTI,0
703604,Nasdaq:DSGR,25.06
704051,NASDAQ:INFR,0
704415,NASDAQ:TVTY,0
704440,Nasdaq:KRMD,2.05
