CIK,risk_score,date
70415,0.73,2021-01-01
70487,1.8,2021-01-01
70502,0.73,2021-01-01
70793,0.37,2021-01-01
70858,2.38,2021-01-01
70866,2.38,2021-01-01
71508,0.73,2021-01-01
71691,2.38,2021-01-01
71829,2.38,2021-01-01
71932,0,2021-01-01
72162,0.73,2021-01-01
72207,2.38,2021-01-01
72331,2.38,2021-01-01
72333,2.38,2021-01-01
72423,0.37,2021-01-01
72444,2.38,2021-01-01
72573,1.8,2021-01-01
72633,0.73,2021-01-01
72741,2.38,2021-01-01
72903,2.38,2021-01-01
72911,1.1,2021-01-01
72971,2.38,2021-01-01
73124,2.38,2021-01-01
73290,0.73,2021-01-01
73309,2.38,2021-01-01
73756,2.38,2021-01-01
73887,1.1,2021-01-01
74046,0.73,2021-01-01
74208,2.38,2021-01-01
74260,0.84,2021-01-01
74303,2.38,2021-01-01
75208,0.73,2021-01-01
75252,2.38,2021-01-01
75288,0.84,2021-01-01
75340,0.73,2021-01-01
75362,2.38,2021-01-01
75398,0.06,2021-01-01
75488,2.38,2021-01-01
75677,2.38,2021-01-01
76174,0.37,2021-01-01
76267,0.73,2021-01-01
76282,3.09,2021-01-01
76334,1.1,2021-01-01
76605,0.84,2021-01-01
77159,2.38,2021-01-01
77281,0.84,2021-01-01
77360,2.38,2021-01-01
77449,0.95,2021-01-01
77476,2.38,2021-01-01
77543,2.38,2021-01-01
77597,0.37,2021-01-01
77776,0.95,2021-01-01
77877,2.38,2021-01-01
78003,2.38,2021-01-01
78066,0.37,2021-01-01
78128,2.38,2021-01-01
78150,1.1,2021-01-01
78239,2.38,2021-01-01
78460,0.37,2021-01-01
78536,0.37,2021-01-01
78749,2.38,2021-01-01
78778,0.95,2021-01-01
78814,2.38,2021-01-01
78890,2.38,2021-01-01
79035,1.1,2021-01-01
79282,2.38,2021-01-01
79879,2.38,2021-01-01
79958,0.95,2021-01-01
80035,0.73,2021-01-01
80124,0.37,2021-01-01
80172,0.73,2021-01-01
80257,0.06,2021-01-01
80420,1.8,2021-01-01
80424,2.38,2021-01-01
80661,2.38,2021-01-01
81318,0,2021-01-01
81362,2.38,2021-01-01
81955,0.73,2021-01-01
82020,1.8,2021-01-01
82166,2.38,2021-01-01
82267,0.95,2021-01-01
82473,0.06,2021-01-01
82811,2.38,2021-01-01
83402,0.37,2021-01-01
84246,2.38,2021-01-01
84748,2.38,2021-01-01
84792,0.37,2021-01-01
84839,1.8,2021-01-01
85408,0.95,2021-01-01
85535,2.38,2021-01-01
85961,2.38,2021-01-01
85974,0.95,2021-01-01
86144,0.95,2021-01-01
86312,2.38,2021-01-01
87050,0.73,2021-01-01
87347,2.38,2021-01-01
87565,0.95,2021-01-01
88132,1.1,2021-01-01
88205,2.38,2021-01-01
88941,0.84,2021-01-01
88948,0.73,2021-01-01
89089,2.38,2021-01-01
89140,0,2021-01-01
89270,0.37,2021-01-01
89439,0.84,2021-01-01
89800,2.38,2021-01-01
90168,0.73,2021-01-01
90185,0.95,2021-01-01
90498,0.84,2021-01-01
90896,1.8,2021-01-01
91142,2.38,2021-01-01
91419,2.38,2021-01-01
91440,2.38,2021-01-01
91576,2.38,2021-01-01
91767,2.38,2021-01-01
91847,0,2021-01-01
91928,2.38,2021-01-01
92103,2.38,2021-01-01
92122,3.69,2021-01-01
92230,2.38,2021-01-01
92380,2.38,2021-01-01
92472,0.37,2021-01-01
92679,0.37,2021-01-01
93284,0.06,2021-01-01
93314,0.73,2021-01-01
93389,1.8,2021-01-01
93410,2.38,2021-01-01
93451,0.95,2021-01-01
93556,2.38,2021-01-01
93676,0.73,2021-01-01
93751,2.38,2021-01-01
93859,0,2021-01-01
94049,2.38,2021-01-01
94344,2.38,2021-01-01
94845,2.38,2021-01-01
95029,1.8,2021-01-01
95047,0,2021-01-01
95052,0.37,2021-01-01
95521,0.95,2021-01-01
95552,0.73,2021-01-01
95574,1.8,2021-01-01
95585,0.37,2021-01-01
95953,0.73,2021-01-01
96021,2.38,2021-01-01
96223,2.38,2021-01-01
96289,1.1,2021-01-01
96536,0.06,2021-01-01
96638,0,2021-01-01
96763,0.37,2021-01-01
96793,0.06,2021-01-01
96831,0.37,2021-01-01
96869,3.09,2021-01-01
96885,0.73,2021-01-01
96943,2.38,2021-01-01
96966,1.1,2021-01-01
97134,2.38,2021-01-01
97196,0.37,2021-01-01
97210,2.38,2021-01-01
97216,2.38,2021-01-01
97472,0.95,2021-01-01
97476,2.38,2021-01-01
97745,2.38,2021-01-01
98222,2.38,2021-01-01
98246,2.38,2021-01-01
98338,0.73,2021-01-01
98362,2.38,2021-01-01
98677,0.06,2021-01-01
99197,0.06,2021-01-01
99302,0.73,2021-01-01
99359,1.36,2021-01-01
99614,2.38,2021-01-01
99780,2.38,2021-01-01
100378,0.73,2021-01-01
100493,2.38,2021-01-01
100517,2.38,2021-01-01
100591,1.8,2021-01-01
100726,2.38,2021-01-01
100885,2.38,2021-01-01
100979,0,2021-01-01
101063,0.95,2021-01-01
101199,0.84,2021-01-01
101295,0.73,2021-01-01
101382,2.38,2021-01-01
101538,1.36,2021-01-01
101542,0.06,2021-01-01
101594,0.73,2021-01-01
101778,2.38,2021-01-01
101829,2.38,2021-01-01
101830,2.38,2021-01-01
101984,2.38,2021-01-01
102037,2.38,2021-01-01
102109,0.73,2021-01-01
102212,2.38,2021-01-01
102426,0,2021-01-01
102499,0.37,2021-01-01
102729,0.84,2021-01-01
102752,0.84,2021-01-01
103145,2.38,2021-01-01
103379,2.38,2021-01-01
103595,0.73,2021-01-01
103730,0.84,2021-01-01
103872,0.73,2021-01-01
104169,2.38,2021-01-01
104207,1.1,2021-01-01
104375,0,2021-01-01
104777,0.37,2021-01-01
104889,2.38,2021-01-01
104894,2.38,2021-01-01
104897,0.37,2021-01-01
104918,2.38,2021-01-01
105016,2.38,2021-01-01
105132,1.8,2021-01-01
105319,2.38,2021-01-01
105418,3.09,2021-01-01
105634,0.84,2021-01-01
105744,0.73,2021-01-01
105770,2.38,2021-01-01
106040,2.38,2021-01-01
106374,0.37,2021-01-01
106455,1.1,2021-01-01
106532,0.73,2021-01-01
106535,2.38,2021-01-01
106640,2.38,2021-01-01
107140,2.38,2021-01-01
107263,2.38,2021-01-01
107559,0.06,2021-01-01
107687,0.84,2021-01-01
108312,2.38,2021-01-01
108385,2.38,2021-01-01
108516,2.38,2021-01-01
108985,0.73,2021-01-01
109156,0.37,2021-01-01
109177,3.69,2021-01-01
109198,2.38,2021-01-01
109380,2.38,2021-01-01
109563,1.1,2021-01-01
109657,0.73,2021-01-01
109747,0.37,2021-01-01
110390,0.06,2021-01-01
110430,0.37,2021-01-01
110471,2.38,2021-01-01
110621,2.38,2021-01-01
200245,0,2021-01-01
200406,2.38,2021-01-01
201283,0.37,2021-01-01
201461,0.95,2021-01-01
201533,2.38,2021-01-01
202058,2.38,2021-01-01
202467,1.1,2021-01-01
202890,0.37,2021-01-01
203077,0.37,2021-01-01
203248,0.37,2021-01-01
203527,0.84,2021-01-01
203596,2.38,2021-01-01
215419,0.37,2021-01-01
215466,2.38,2021-01-01
215829,0.06,2021-01-01
215994,0.37,2021-01-01
216039,0,2021-01-01
216085,1.8,2021-01-01
216108,0.37,2021-01-01
216228,2.38,2021-01-01
216539,0.95,2021-01-01
216851,0,2021-01-01
217346,2.38,2021-01-01
217410,1.1,2021-01-01
225208,0.06,2021-01-01
225263,0.37,2021-01-01
225635,0.06,2021-01-01
225648,2.38,2021-01-01
230119,0.37,2021-01-01
230498,1.1,2021-01-01
230557,2.38,2021-01-01
275053,0.73,2021-01-01
275119,0.37,2021-01-01
275694,0.06,2021-01-01
275880,2.38,2021-01-01
276209,0.37,2021-01-01
276463,0.06,2021-01-01
276720,0.06,2021-01-01
277058,0.37,2021-01-01
277135,2.38,2021-01-01
277375,0.37,2021-01-01
277509,0,2021-01-01
277595,0.95,2021-01-01
277948,2.38,2021-01-01
278041,0,2021-01-01
278130,2.38,2021-01-01
278165,0.73,2021-01-01
278166,2.38,2021-01-01
310056,0,2021-01-01
310142,2.38,2021-01-01
310158,2.38,2021-01-01
310354,2.38,2021-01-01
310568,0.95,2021-01-01
310764,2.38,2021-01-01
311046,0,2021-01-01
311094,1.8,2021-01-01
311337,1.1,2021-01-01
311471,0.37,2021-01-01
311817,0.06,2021-01-01
312069,0,2021-01-01
312070,0.06,2021-01-01
313041,0.06,2021-01-01
313143,2.38,2021-01-01
313216,1.1,2021-01-01
313364,0.73,2021-01-01
313395,0,2021-01-01
313616,2.38,2021-01-01
313716,0.37,2021-01-01
313807,1.1,2021-01-01
313838,1.1,2021-01-01
313927,2.38,2021-01-01
314203,1.8,2021-01-01
314227,1.8,2021-01-01
314423,0.37,2021-01-01
314489,1.8,2021-01-01
314590,1.1,2021-01-01
314606,0,2021-01-01
314712,0,2021-01-01
314808,2.38,2021-01-01
315131,0.73,2021-01-01
315189,2.38,2021-01-01
315213,0,2021-01-01
315293,2.38,2021-01-01
315374,0.73,2021-01-01
315449,0.37,2021-01-01
315545,0,2021-01-01
315709,0.84,2021-01-01
315849,0.73,2021-01-01
315852,2.38,2021-01-01
315858,2.38,2021-01-01
316206,0.95,2021-01-01
316253,0.73,2021-01-01
316300,0.95,2021-01-01
316709,2.38,2021-01-01
316736,0,2021-01-01
316793,0.95,2021-01-01
316888,0.06,2021-01-01
317540,0.84,2021-01-01
317788,2.38,2021-01-01
317891,1.1,2021-01-01
318154,2.38,2021-01-01
318306,2.38,2021-01-01
318673,0.06,2021-01-01
318771,0.95,2021-01-01
318833,2.38,2021-01-01
318996,2.38,2021-01-01
319156,0,2021-01-01
319201,2.38,2021-01-01
319240,0.37,2021-01-01
319458,0.73,2021-01-01
319654,0.73,2021-01-01
319655,0.73,2021-01-01
319815,0.95,2021-01-01
320017,2.38,2021-01-01
320121,1.8,2021-01-01
320187,2.38,2021-01-01
320193,2.38,2021-01-01
320335,2.38,2021-01-01
320340,0.73,2021-01-01
320345,0.37,2021-01-01
320387,0.37,2021-01-01
350698,2.38,2021-01-01
350737,1.8,2021-01-01
350797,1.8,2021-01-01
350846,0.37,2021-01-01
350852,1.8,2021-01-01
350868,0.73,2021-01-01
350894,1.1,2021-01-01
350907,0.95,2021-01-01
351483,1.1,2021-01-01
351569,2.38,2021-01-01
351789,0,2021-01-01
351817,0.73,2021-01-01
351834,2.38,2021-01-01
351903,0.37,2021-01-01
351998,0.73,2021-01-01
352363,0.95,2021-01-01
352541,2.38,2021-01-01
352613,0.06,2021-01-01
352747,0,2021-01-01
352825,0.73,2021-01-01
352915,2.38,2021-01-01
352955,0,2021-01-01
352988,0,2021-01-01
353020,2.38,2021-01-01
353024,0.06,2021-01-01
353184,0.73,2021-01-01
353230,0.95,2021-01-01
353278,1.1,2021-01-01
353646,0.06,2021-01-01
354190,2.38,2021-01-01
354647,0.84,2021-01-01
354655,0.37,2021-01-01
354707,2.38,2021-01-01
354869,0.37,2021-01-01
354908,2.38,2021-01-01
354950,2.38,2021-01-01
354963,2.38,2021-01-01
355019,0.73,2021-01-01
355379,0.73,2021-01-01
355429,0.95,2021-01-01
355766,0.37,2021-01-01
355777,0.95,2021-01-01
355811,1.1,2021-01-01
355948,0.06,2021-01-01
355999,0.95,2021-01-01
356028,0.95,2021-01-01
356037,0.73,2021-01-01
356080,0.95,2021-01-01
356130,0.37,2021-01-01
356171,1.8,2021-01-01
356213,0.95,2021-01-01
356309,2.38,2021-01-01
356708,0,2021-01-01
356858,0,2021-01-01
357020,0.37,2021-01-01
357097,0.37,2021-01-01
357173,1.8,2021-01-01
357294,2.38,2021-01-01
357301,1.8,2021-01-01
700564,2.38,2021-01-01
700565,1.8,2021-01-01
700733,0.37,2021-01-01
700841,0.73,2021-01-01
700863,0.37,2021-01-01
700923,2.38,2021-01-01
701288,1.8,2021-01-01
701345,1.1,2021-01-01
701347,2.38,2021-01-01
701374,2.38,2021-01-01
701719,0,2021-01-01
701811,0.37,2021-01-01
701818,1.1,2021-01-01
701869,1.8,2021-01-01
701985,2.38,2021-01-01
702325,2.38,2021-01-01
702513,0.73,2021-01-01
702902,0.37,2021-01-01
703109,0.37,2021-01-01
703351,2.38,2021-01-01
703361,0.95,2021-01-01
703604,2.38,2021-01-01
704051,2.38,2021-01-01
704415,2.38,2021-01-01
704440,2.38,2021-01-01
704532,2.38,2021-01-01
704562,2.38,2021-01-01
704693,0.37,2021-01-01
705432,2.38,2021-01-01
706129,0.84,2021-01-01
706698,0.73,2021-01-01
706863,0.73,2021-01-01
706874,0.37,2021-01-01
707179,2.38,2021-01-01
707209,1.1,2021-01-01
707388,0.73,2021-01-01
707511,0.06,2021-01-01
707549,2.38,2021-01-01
707605,0.73,2021-01-01
707886,0.37,2021-01-01
708781,0.06,2021-01-01
708818,2.38,2021-01-01
708819,2.38,2021-01-01
708821,2.38,2021-01-01
708955,2.38,2021-01-01
709283,2.38,2021-01-01
709337,2.38,2021-01-01
709804,0.37,2021-01-01
709878,0.37,2021-01-01
709942,0.37,2021-01-01
710752,1.8,2021-01-01
710807,0,2021-01-01
710846,0.37,2021-01-01
711039,0.37,2021-01-01
711065,0.37,2021-01-01
711377,2.38,2021-01-01
711404,2.38,2021-01-01
711665,0.73,2021-01-01
711669,0.73,2021-01-01
711772,1.8,2021-01-01
712034,2.38,2021-01-01
712515,2.38,2021-01-01
712534,2.38,2021-01-01
712537,2.38,2021-01-01
712770,0.84,2021-01-01
712771,2.38,2021-01-01
712843,0.37,2021-01-01
713095,0.37,2021-01-01
713425,1.8,2021-01-01
713671,0,2021-01-01
713676,2.38,2021-01-01
714256,1.8,2021-01-01
714284,0.73,2021-01-01
714310,2.38,2021-01-01
714395,0.84,2021-01-01
714530,0.37,2021-01-01
714562,0.84,2021-01-01
714655,0.37,2021-01-01
715072,0.84,2021-01-01
715153,1.1,2021-01-01
715273,0.37,2021-01-01
715446,0.06,2021-01-01
715579,0.73,2021-01-01
715787,2.38,2021-01-01
715957,2.38,2021-01-01
716133,2.38,2021-01-01
716314,0.73,2021-01-01
716605,0.73,2021-01-01
716634,2.38,2021-01-01
716643,2.38,2021-01-01
716646,0.37,2021-01-01
717423,2.38,2021-01-01
717538,1.8,2021-01-01
717605,2.38,2021-01-01
717720,0.06,2021-01-01
717806,0.73,2021-01-01
717826,1.1,2021-01-01
717954,1.1,2021-01-01
718332,0.73,2021-01-01
718573,0.37,2021-01-01
718877,2.38,2021-01-01
718924,0.37,2021-01-01
718937,2.38,2021-01-01
718940,1.1,2021-01-01
719135,2.38,2021-01-01
719143,0.37,2021-01-01
719164,0.37,2021-01-01
719209,0.37,2021-01-01
719220,1.8,2021-01-01
719245,1.1,2021-01-01
719402,0.73,2021-01-01
719413,0.84,2021-01-01
719733,0.73,2021-01-01
719739,2.38,2021-01-01
719866,0.95,2021-01-01
719955,2.38,2021-01-01
720002,0.37,2021-01-01
720005,2.38,2021-01-01
720154,0.73,2021-01-01
720327,0.37,2021-01-01
720500,0.73,2021-01-01
720672,2.38,2021-01-01
720858,0.73,2021-01-01
720875,0.73,2021-01-01
721237,0.37,2021-01-01
721371,2.38,2021-01-01
721447,0,2021-01-01
721683,0.95,2021-01-01
721693,0.73,2021-01-01
721994,1.8,2021-01-01
722079,0.37,2021-01-01
722104,0,2021-01-01
722256,0.37,2021-01-01
722313,0.73,2021-01-01
722392,0.37,2021-01-01
722572,0.06,2021-01-01
722617,0.37,2021-01-01
722692,0.37,2021-01-01
722723,2.38,2021-01-01
